Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
1/23/2016,382.85,395,381.05,386.4,7664.890928,2974351.323,388.0487473
1/22/2016,409.42,410.07,374.45,382.55,14744.75776,5747610.601,389.807055
1/21/2016,418.9,421.25,404.59,409.59,9414.557072,3886595.677,412.8283091
1/20/2016,376.9,422.98,372.53,416.32,25172.91742,10071637.71,400.0981508
1/19/2016,385.47,386.92,375.59,376.76,7223.003242,2758289.784,381.8757505
1/18/2016,379.94,388.5,373.63,385.49,7015.529936,2680282.372,382.0498803
1/17/2016,387.8,391.14,376,380.16,8416.943635,3222126.447,382.8143073
1/16/2016,360.62,392.07,352,386.91,25019.25199,9314016.197,372.2739672
1/15/2016,429.55,429.8,360,360,37326.70141,14756284.24,395.3278398
1/14/2016,432.64,434,427,429.55,4420.91216,1903623.767,430.5952477
1/13/2016,434.78,438.35,424.5,432.64,10067.02105,4327468.864,429.8658803
1/12/2016,448,448,434.35,434.85,6930.896549,3067862.764,442.6357749
1/11/2016,448.2,451.13,438,448,7986.458431,3557149.606,445.3976236
1/10/2016,448.84,449.89,440.8,448.79,4078.610654,1813405.062,444.6134275
1/9/2016,452.02,454,446.68,448.84,4396.045001,1976929.789,449.7064494
1/8/2016,456.87,465,444.51,452.7,10258.99459,4654977.991,453.7460228
1/7/2016,429.99,459.16,429.25,457,16833.41916,7536413.294,447.7054379
1/6/2016,432.45,432.67,426.54,429.56,5507.614226,2369036.455,430.1384153
1/5/2016,433.31,435.39,429.5,432.43,3881.720862,1677111.442,432.053592
1/4/2016,431.54,435.86,428.44,434.17,5717.595458,2474772.498,432.8344871
1/3/2016,433.2,434.09,424.06,431.04,4571.097038,1959152.596,428.5957134
1/2/2016,434.87,435.99,430.42,433.55,2972.063449,1287773.387,433.2926967
1/1/2016,430.89,436,427.2,433.82,3788.111174,1640577.926,433.0860026
12/31/2015,426.09,433.89,419.99,430.89,6634.863167,2833319.7,427.0351367
12/30/2015,431.7,434.97,420.75,425.84,7717.510263,3315825.431,429.6496303
12/29/2015,420.81,433.33,418.55,431.82,10419.58537,4444308.022,426.5340573
12/28/2015,421.78,429.86,417.01,421.46,7560.562992,3204101.79,423.7914284
12/27/2015,417.11,425.42,410.5,421.76,6968.573659,2921475.217,419.2357518
12/26/2015,455.5,457.45,407.25,417.39,26672.12173,11386692.92,426.9136528
12/25/2015,455.78,458.33,448,455.51,2877.167351,1304947.59,453.552898
12/24/2015,443.01,459.54,443.01,455,10138.31555,4598655.916,453.5917129
12/23/2015,435.65,445.52,434.43,442.56,7100.228287,3125137.431,440.1460495
12/22/2015,438.14,443.58,433.06,435.48,8146.017388,3563201.255,437.4163576
12/21/2015,442.47,450,425.52,438.07,18930.86319,8257540.791,436.1946262
12/20/2015,461.89,462,433.83,442.54,16626.48836,7430072.733,446.881661
12/19/2015,463.7,465.9,452.03,461.8,6839.178687,3156242.375,461.4943577
12/18/2015,455.37,466.64,453.5,462.46,12914.7368,5937708.344,459.7622417
12/17/2015,455.61,458.84,448.75,456.17,6598.640949,3000514.421,454.717031
12/16/2015,464.53,465,436.89,455.87,23377.12257,10627485.43,454.6105021
12/15/2015,443.3,464.99,442.94,464.53,18096.38828,8237602.554,455.2069963
12/14/2015,433.13,448.12,428.42,443.36,13386.74416,5908604.603,441.3772709
12/13/2015,436.08,442.97,422.03,433.07,11725.66724,5101509.331,435.0719858
12/12/2015,453.12,467.8,403,436.19,29770.2838,12875519.54,432.4956936
12/11/2015,415.57,454.48,415.13,453.04,29020.19839,12715568.6,438.1627041
12/10/2015,416.69,419.79,408.91,415.57,8463.884739,3514699.253,415.2584022
12/9/2015,416.67,424.95,400,416.98,21039.90851,8726381.894,414.7537947
12/8/2015,395.57,418.87,388.33,417.89,11455.14109,4567280.013,398.7100618
12/7/2015,388.54,399.91,381.01,395.57,14949.58607,5868357.225,392.5431243
12/6/2015,388,399.85,383,388.24,14679.43603,5754540.488,392.013731
12/5/2015,363.62,389.89,363,388,16784.12667,6338715.404,377.6613183
12/4/2015,361.48,364.3,355.92,363.62,9989.280217,3596927.198,360.0787164
12/3/2015,359.11,370.53,356.21,361.42,12190.88394,4423950.844,362.8900798
12/2/2015,362.7,362.84,348.64,358.89,12343.40777,4390062.73,355.6605123
12/1/2015,376.7,379,354.56,363.06,15410.28235,5617537.152,364.5317473
11/30/2015,371.2,383,367.11,376.71,18097.95321,6809125.599,376.2373303
11/29/2015,356.78,373.15,354.45,371.48,7817.18355,2854062.801,365.1011624
11/28/2015,357.42,359.44,350.41,356.95,6275.367355,2225597.7,354.6561618
11/27/2015,353.9,364.8,347.84,357.14,13276.83007,4753695.23,358.0444432
11/26/2015,328.9,369.7,328.53,353.21,35986.16249,12574100.16,349.4148665
11/25/2015,319.7,330.84,316,328.9,12253.75998,3964830.34,323.560307
11/24/2015,323.48,323.5,317,319.7,8649.018933,2774792.551,320.8216531
11/23/2015,324.2,326.09,320.39,323.48,5101.557289,1649850.435,323.4013345
11/22/2015,326.5,326.6,320.13,324.2,4062.212231,1312398.596,323.0748473
11/21/2015,322.04,328.94,318.52,326.5,5129.353252,1666609.819,324.9161711
11/20/2015,326.51,327.73,310,322.04,21303.64116,6794004.847,318.9128466
11/19/2015,335.68,336.48,324.92,326.02,26919.51671,8937135.622,331.9946535
11/18/2015,336,337.89,330.28,335.65,27252.09999,9115915.94,334.5032472
11/17/2015,330.82,350.44,329,336.08,27718.67585,9324687.157,336.4044952
11/16/2015,319.29,332.25,315,330.83,22243.82252,7220301.633,324.5980598
11/15/2015,332.95,334.99,314.6,319.28,27643.56081,8952296.3,323.8474364
11/14/2015,336.98,356.1,325.45,333,25628.37827,8596759.487,335.4390744
11/13/2015,337,342,325,336.99,24663.47296,8239048.11,334.0587161
11/12/2015,309.95,344.78,308.42,337.17,37744.44699,12327089.43,326.5934571
11/11/2015,335.02,341.41,294,309.91,51510.30806,16138605.49,313.3082696
11/10/2015,378.02,381.44,323.63,336.8,48890.59709,17451749,356.9551209
11/9/2015,372.86,386.79,360.54,377.9,25934.9728,9765480.265,376.5371315
11/8/2015,383.62,390.47,366.18,372.65,27445.01909,10459784,381.1177527
11/7/2015,374.41,392.82,371.07,383.53,26348.59517,10103834.21,383.4676628
11/6/2015,387.77,396.67,353.26,374.47,46952.53785,17530874.22,373.3743695
11/5/2015,407.99,448.79,364.37,385.5,60174.71349,24185444.13,401.9203869
11/4/2015,404.55,502,368.11,408,105959.2591,47199586.92,445.4503297
11/3/2015,361.73,420.77,360.4,404.06,77212.78172,30053087.83,389.2242601
11/2/2015,325.78,369.02,320,361.26,45146.50239,15705858.69,347.8864996
11/1/2015,310.9,329.85,303.01,325.78,14281.5459,4520744.071,316.5444485
10/31/2015,328.28,334.67,302.99,310.18,28765.17836,9150844.319,318.1222867
10/30/2015,314.95,334.05,313.5,328.65,39364.02821,12770329.06,324.4162155
10/29/2015,305.67,319.6,301.7,314.82,32258.30743,10020832.76,310.6434765
10/28/2015,295.8,308.48,294.4,305.67,31263.17101,9436170.141,301.8302315
10/27/2015,286.9,300,286.15,295.54,34002.14865,9964151.027,293.0447464
10/26/2015,283.96,286.99,279.25,286.9,21266.473,6035103.099,283.7848618
10/25/2015,283.03,296,282.2,283.96,30003.58656,8680118.087,289.3026829
10/24/2015,278.6,284,278.22,282.84,20586.33502,5767325.869,280.1531144
10/23/2015,275.21,280.19,273.46,278.6,21572.26847,5984624.448,277.4221198
10/22/2015,267.9,280.04,267.39,275.21,30166.42544,8260174.534,273.8201299
10/21/2015,270.3,272.69,264,267.89,20396.77801,5479672.381,268.6538226
10/20/2015,264.28,272.95,262.67,270.64,28967.44125,7721192.763,266.547283
10/19/2015,260.99,266.01,259.82,263.66,16704.69881,4381700.26,262.3034578
10/18/2015,270.04,271.17,260,261.05,10003.12667,2644951.591,264.412486
10/17/2015,263.09,273,260.8,270.07,25328.14898,6801861.478,268.5494895
10/16/2015,254.49,267,253.69,263.09,34816.74109,9087466.923,261.0085447
10/15/2015,252.47,256.5,250.3,254.49,22037.62801,5614843.82,254.7843995
